combo_id,filter_combo,factor_combo,ic_mean,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,max_drawdown,total_score
43188,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.4, 'v_ratio10': 0.6}",-0.01096363008603405,-0.03634394644351726,0.532258064516129,-3.641341802459317,-10.666088876288434,-0.07672506389736967,0.10350013585569058
96304,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.5, 'v_ratio10': 0.5}",-0.01772566915903832,-0.05768974753606011,0.5,-2.6060149223767652,-8.461452993488464,-0.015131261101662023,0.14110804432829407
74097,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.6, 'v_ratio10': 0.4}",-0.021199300236918763,-0.0670741519427561,0.5161290322580645,-3.0819984392392934,-9.66623211885049,-0.03419493585813079,0.14226100960149463
44644,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.7, 'v_ratio10': 0.30000000000000004}",-0.01580179424567413,-0.04973878312470164,0.5,-1.6858696839229672,-6.447118136658398,-0.0252744839149537,0.1313661985281101
70878,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.3, 'cost_peak': 0.7}",-0.022601554196246827,-0.07971993353919941,0.5161290322580645,0.13275387290352275,0.6057674392319704,-0.019918435038970506,0.2973655361503467
93796,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.4, 'cost_peak': 0.6}",-0.030064540993239967,-0.10084899442411177,0.5,0.13275387290352275,0.6057674392319704,-0.013352682450119127,0.3164573690545604
57076,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.5, 'cost_peak': 0.5}",-0.03469773235964439,-0.11165480209188566,0.4838709677419355,0.13275387290352275,0.6057674392319704,-0.01335268245011923,0.32510201518877946
73182,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.6, 'cost_peak': 0.4}",-0.0320308775815518,-0.0989333740375274,0.41935483870967744,0.3911756026138048,1.8423274897937076,-0.009450229292277129,0.5949347333469165
77021,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.7, 'cost_peak': 0.30000000000000004}",-0.04430174769882487,-0.1359699334023432,0.41935483870967744,5.27178706834235,12.937534021802927,0.0,0.7087759467218745
18027,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.3, 'rsi': 0.7}",0.017129659118076557,0.05537343291405307,0.5806451612903226,-2.689679880216225,-5.5829984292868975,-0.03806700908794012,0.1316097433019291
66832,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.4, 'rsi': 0.6}",-0.0008136549980094185,-0.00262388906888468,0.5806451612903226,-2.689679880216225,-5.5829984292868975,-0.08019070393238477,0.07536887661097949
58146,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.5, 'rsi': 0.5}",-0.011179068203993722,-0.03576384520381057,0.5806451612903226,-2.689679880216225,-5.5829984292868975,-0.04379067486239863,0.1140141845422489
97000,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.6, 'rsi': 0.4}",-0.027500087120364235,-0.08666080305752742,0.46774193548387094,5.662437601275549,8.307857200994746,0.0,0.669328642446022
1486,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.7, 'rsi': 0.30000000000000004}",-0.029481992553802752,-0.09175335176882465,0.46774193548387094,3.426299994757608,6.110056607669002,-0.037310631928949,0.6609658041054101
58806,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.3, 'macd': 0.7}",-0.05807720707864243,-0.1853894032060133,0.45161290322580644,0.6606683600874418,1.119534479208099,-0.06154718520158059,0.6397492420850938
40799,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.4, 'macd': 0.6}",-0.06255238661369723,-0.19133514195463106,0.43548387096774194,-0.4067793118181493,-0.73856111719518,-0.0615471852015806,0.232552385163178
