combo_id,filter_combo,factor_combo,ic_mean,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,max_drawdown,win_rate,total_score
21458,"min_volume,price_range,exclude_kcb","{'rsi': 0.3, 'macd': 0.3, 'bollinger': 0.2, 'atr': 0.2}",-0.004655259785998375,-0.014183113730364072,0.5161290322580645,2.262673177902952,5.016158947819177,-0.03434736480296688,0.5,0.5998973693833023
38167,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.25, 'rsi': 0.25, 'v_ratio10': 0.25, 'cost_peak': 0.25}",0.015527573039372465,0.05183455830361945,0.5967741935483871,5.1956662646089535,12.511535311937054,-0.013323943195069474,0.5,0.6370263322445391
51845,"min_volume,price_range,exclude_kcb","{'ma5_slope': 0.4, 'macd': 0.3, 'v_ratio10': 0.3}",-0.028698095287319154,-0.09499472780869732,0.45161290322580644,-0.04760536331663346,-0.11099838967491693,-0.04384149023444264,0.5,0.1613819521688103
56935,"min_volume,price_range,exclude_kcb","{'cost_peak': 0.5, 'v_ratio10': 0.3, 'ma5_bias': 0.2}",0.003764211855969374,0.013332719816402078,0.5161290322580645,3.0910306497381534,6.152075253614765,-0.032059313633260415,0.5,0.5999797379753682
81872,"min_volume,price_range,exclude_kcb","{'ma5_bias': -0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",0.020197939105099823,0.06073659103466362,0.5161290322580645,0.758981380768657,1.4638476816920165,-0.05171340782183046,0.5,0.5777362383896557
78497,"min_volume,price_range,exclude_kcb","{'rsi': -0.3, 'macd': -0.3, 'bollinger': 0.4}",-0.000710597083628639,-0.002125544672600437,0.5,-1.172983868453818,-2.0679149165432675,-0.06029093041066421,0.5,0.08160345893452561
77696,"min_volume,price_range,exclude_bse","{'ma5_bias': 0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.0032691644216830316,-0.011825455031973046,0.48205128205128206,0.8540661938367907,1.8504320426459362,-0.254248535110541,0.5,0.5097540565866584
92833,"min_volume,price_range,exclude_bse","{'ma5_bias': 0.3, 'ma5_slope': 0.3, 'v_ratio10': 0.2, 'cost_peak': 0.2}",-0.004186743056455542,-0.01513515164108527,0.48205128205128206,0.9635270000667289,1.9287092465228508,-0.18224890684995543,0.5,0.5442294103485015
36691,"min_volume,price_range,exclude_bse","{'rsi': 0.3, 'macd': 0.3, 'bollinger': 0.2, 'atr': 0.2}",-0.02140154548261556,-0.08166181589058676,0.5,-0.30752633570514765,-0.6293811824277105,-0.3775197952902559,0.5,0.06532945271246941
45519,"min_volume,price_range,exclude_bse","{'ma5_bias': 0.25, 'rsi': 0.25, 'v_ratio10': 0.25, 'cost_peak': 0.25}",-0.013363400104271048,-0.04944834695982099,0.48205128205128206,0.7599448261032462,1.6161843570237628,-0.17663236461215062,0.5,0.5422996583995162
