weights,ic_mean,ic_ir,long_short_return,sharpe_ratio,max_drawdown,win_rate
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 1, 'cost_peak': 0}",0.005654268707352823,0.03644055375966997,-0.29782156141505345,-1.3544461160616859,-0.2765963473885419,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 1, 'cost_peak': 0.5}",-0.01226574237164838,-0.08457105634539411,-0.2973532454211254,-1.4597982224442538,-0.3131943964204343,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 1, 'cost_peak': 1}",-0.02368033975743266,-0.16047313073878136,-0.2919686123509055,-1.455630462159623,-0.2740898182941828,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -1, 'cost_peak': -1}",0.04090273165913195,0.2454000425780248,-0.2792448146654254,-1.1130337083087978,-0.3621974030734607,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -1, 'cost_peak': -0.5}",0.03968996845483328,0.24259016015375257,-0.25176781549378,-1.031976145917401,-0.23897385652129105,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -1, 'cost_peak': 0}",0.03506587319471054,0.22108814239034047,-0.24156118408887628,-1.0032034428166954,-0.3044398422346079,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -1, 'cost_peak': 0.5}",0.028814759289259,0.18955032275732223,-0.24525438626062254,-1.0740702479583666,-0.2841745414984992,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -1, 'cost_peak': 1}",0.019005404573132614,0.124894676218673,-0.13192196241520027,-0.600470243086104,-0.29689998815123586,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -0.5, 'cost_peak': -1}",0.03912187127190191,0.22180138728165616,-0.32006595859751263,-1.267519979190091,-0.3340184054793813,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -0.5, 'cost_peak': -0.5}",0.03875478054587328,0.2192890562300654,-0.3360648220712844,-1.3178115700943134,-0.2883642560578965,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -0.5, 'cost_peak': 0}",0.03501410932102035,0.2026517350880803,-0.30350194920678597,-1.205118899650695,-0.3013627315258157,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -0.5, 'cost_peak': 0.5}",0.026051404970725153,0.15845417039951734,-0.29309808504952173,-1.240732131757681,-0.36129662876847823,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': -0.5, 'cost_peak': 1}",0.011646281350940115,0.07133112229623463,-0.19296661205709914,-0.8692069202541907,-0.2540295943920942,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0, 'cost_peak': -1}",0.03656333592203518,0.19925929527363226,-0.4005352286480531,-1.530156792413703,-0.3660756780021229,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0, 'cost_peak': -0.5}",0.036082614008793784,0.1939492469419357,-0.3139628013425039,-1.1870117477309825,-0.2738728850883749,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0, 'cost_peak': 0}",0.034156649524527835,0.18258575323726797,-0.35806925522044974,-1.366885526535023,-0.3980260948261192,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0, 'cost_peak': 0.5}",0.019966209389850446,0.11389923709908778,-0.26046810312662655,-1.0633326879144644,-0.26636325103070063,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0, 'cost_peak': 1}",-0.00131172074967113,-0.007635514665919496,-0.2635788896117416,-1.1211664299582207,-0.31680588564169343,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0.5, 'cost_peak': -1}",0.030523071186274488,0.16901140000049186,-0.33696572363918126,-1.2976243728293875,-0.3015544278619245,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0.5, 'cost_peak': -0.5}",0.02770296408115424,0.1535168278639369,-0.34308376710000565,-1.3341906611384722,-0.2797061541437222,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0.5, 'cost_peak': 0}",0.019094148712925512,0.11137660648155581,-0.3721431026371773,-1.5211710127326286,-0.3022443145015607,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0.5, 'cost_peak': 0.5}",-0.006805754596345282,-0.04280430005824202,-0.33654489791202147,-1.4694307240983142,-0.2673958663855539,0.5
"{'ma5_bias': -1, 'ma5_slope': 0, 'v_ratio10': 0.5, 'cost_peak': 1}",-0.02112298427620944,-0.1297858017095345,-0.2796524274748165,-1.2008172867164602,-0.2820520452333132,0.5
