rank,code,score,close_price,volume,filters_passed,ma5_bias,ma5_slope,ma_trend,rsi,macd,bollinger,kdj,cci,atr,dmi,v_ratio10,obv,vma,cost_peak,profit_ratio,volatility,trend_strength
11,002195,4293971.657885834,4.95,2920706.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.024420529801324573,0.040000000000000036,-1,23.360655737704917,-0.2161846677985304,-0.5863192830227699,50.95541401273886,-64.64812859895223,0.22000000000000064,-0.040000000000000036,0.7911108221907118,72997506.0,0.7618091588381223,0.15178571428571427,0.15178571428571427,0.11473248142247626,2.102977545344828
12,600126,3870752.412089833,12.0,3231272.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.0190217391304348,1.0199999999999996,1,50.293772032902474,0.19984506945685077,0.25864207866715155,69.51672862453529,92.5528079348545,0.6999999999999993,0,0.8303417677580275,65802571.0,0.8672213624991478,0.6435643564356435,0.6435643564356435,0.06683356790890237,1.3931842641422636
13,300058,3724261.3091503717,5.736,1012789.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate,float_cap,sideways",0.036726431463273534,0.5430000000000001,-1,27.76289350301407,-0.36543389607214394,-0.6298396795925173,45.52631578947366,-66.02666767111766,0.1719999999999997,-0.0860000000000003,0.6176255965170612,63312432.0,0.747081092668125,0.23175416133162619,0.23175416133162619,0.10366111352892521,2.390685725208977
14,600001,3669201.6437875447,5.29,1310049.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",-0.03184480234260621,-0.2699999999999996,0,32.95454545454548,0.0427210292634852,-0.9337818087801666,14.062499999999986,-130.97564391802737,0.13999999999999968,0,1.4523811952273213,62376509.0,1.6426705714787633,0.0,0.0,0.027964832685114346,0.8328757128056364
15,600186,3570432.242143459,6.86,2608508.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.0026308097047646585,0.5700000000000003,0,51.73913043478261,0.05084700739900416,0.3818562149995374,62.500000000000014,97.9934676917162,0.3099999999999996,0,0.749395371798941,60697131.0,1.2385698538672487,0.7476635514018696,0.7476635514018696,0.059672095807764815,0.02554222173909907
16,300324,3393602.418320234,3.72,1027966.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate,float_cap,sideways",0.06773823191733659,0.5100000000000002,-1,26.108374384236456,-0.2768632230290988,-0.46481734632806654,58.82352941176472,-47.71305926177188,0.2400000000000002,-0.06000000000000005,0.8405877309055573,57691200.0,1.0881446424940253,0.271276595744681,0.271276595744681,0.13081016448812094,2.2744460441684033
17,002065,3393209.5767018856,9.38,1280711.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.03509159126020762,0.22000000000000064,-1,24.127906976744185,-0.5497258374799951,-0.5425012453529083,55.59845559845563,-57.85683579998839,0.46999999999999886,0.019999999999999574,0.9895262707812639,57684537.0,1.2292389543409845,0.2286585365853659,0.2286585365853659,0.0962662417660684,2.5091922317054127
18,601398,2912421.2125353576,6.494,3475545.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.00216049382716053,0.040000000000000036,0,53.03030303030304,-0.0039005404853247327,-0.2480852411509174,58.82352941176463,-70.33486128599799,0.08000000000000007,-0.010000000000000675,0.6128659880550253,49511116.0,0.772338596323276,0.3571428571428567,0.3571428571428567,0.00680472660447985,1.1276601870496081
19,002640,2807037.1517901,3.51,1009773.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.16844207723035945,0.8399999999999999,-1,41.197183098591545,-0.32934411374340344,-0.0836680518644719,100.0,19.92423414296835,0.31999999999999984,0.31999999999999984,0.8072548715192898,47719466.0,0.8651666274255386,0.506024096385542,0.506024096385542,0.14778096814264782,1.3913338961732347
20,300180,2568519.5989096337,7.155,2123656.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate,float_cap,sideways",0.07255284065357503,1.3399999999999999,-1,55.871212121212125,0.04327347815998639,0.43451427482563587,79.12621359223301,85.50829481397656,0.3700000000000001,0,0.9516802431533574,43664607.0,1.2900411100159914,0.7403314917127073,0.7403314917127073,0.05776352297585118,0.6352547877567766
