code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
600248,陕建股份,3.68,-1.6,37170946,83.5,S,100,50,92.5,60.4,-0.81,-0.27,2.51,0.73,"多头排列,量价齐升,MACD金叉"
002060,广东建工,4.03,-3.36,65082887,83.5,S,100,80,77.5,63.3,-4.5,3.87,5.77,0.7,"多头排列,趋势向上,放量上涨"
601077,渝农商行,7.04,1.0,60607738,83.5,S,100,100,77.5,76.0,2.33,4.92,6.67,1.0,"多头排列,强势上涨(3日+2.3%),量价齐升"
601939,建设银行,9.18,0.33,71882909,83.5,S,100,100,77.5,77.2,0.88,3.15,3.61,0.86,"多头排列,强势上涨(3日+0.9%),量价齐升"
600027,华电国际,5.28,-0.75,162211874,83.5,S,100,80,70.0,71.0,-2.4,2.33,7.98,0.78,"多头排列,趋势向上,量价齐升"
300070,碧水源,4.2,-1.18,54245306,83.5,S,100,50,92.5,59.3,-1.18,3.7,2.94,0.79,"多头排列,量价齐升,MACD金叉"
000958,电投产融,6.79,-0.29,46057374,83.5,S,100,50,77.5,66.3,-2.3,3.03,4.62,0.6,"多头排列,量价齐升,MACD金叉"
000011,深物业A,8.72,1.51,6167500,83.5,S,40,100,100.0,40.6,2.47,4.31,-6.03,0.41,"强势上涨(3日+2.5%),量价齐升,MACD金叉"
688569,铁科轨道,21.62,0.28,824698,83.5,S,100,50,92.5,56.1,-0.32,0.6,3.1,0.46,"多头排列,缩量回调,MACD金叉"
600719,大连热电,7.07,4.59,37500880,83.5,S,100,100,85.0,65.4,1.73,9.27,4.59,1.0,"多头排列,强势上涨(3日+1.7%),放量上涨"
600729,重庆百货,23.47,0.34,2560495,83.5,S,40,100,92.5,37.9,1.16,0.69,-4.63,0.12,"强势上涨(3日+1.2%),放量上涨,MACD金叉"
601963,重庆银行,11.6,2.84,20753623,83.5,S,100,100,77.5,78.8,5.07,12.08,8.21,1.0,"多头排列,强势上涨(3日+5.1%),量价齐升"
601598,中国外运,5.96,-1.0,16701200,83.5,S,100,50,100.0,54.0,-0.33,-3.72,0.85,0.54,"多头排列,MACD金叉,KDJ金叉"
002580,圣阳股份,13.58,0.52,10510705,83.5,S,100,80,92.5,58.0,-0.51,5.27,3.11,0.89,"多头排列,趋势向上,量价齐升"
601279,英利汽车,4.52,5.12,38913099,83.5,S,40,100,92.5,48.2,3.43,5.36,-2.59,0.21,"强势上涨(3日+3.4%),放量上涨,MACD金叉"
601816,京沪高铁,5.17,1.37,217210899,83.5,S,100,100,77.5,75.0,1.57,1.37,3.61,0.87,"多头排列,强势上涨(3日+1.6%),量价齐升"
002151,北斗星通,47.99,5.01,72457103,83.5,S,100,100,85.0,63.9,9.44,16.79,6.67,0.46,"多头排列,强势上涨(3日+9.4%),量价齐升"
603392,万泰生物,40.6,2.14,3709975,83.5,S,40,100,92.5,47.7,1.91,4.91,-3.59,0.28,"强势上涨(3日+1.9%),放量上涨,MACD金叉"
603136,天目湖,12.0,1.27,4794654,83.5,S,40,100,100.0,53.4,1.61,3.27,-3.07,0.46,"强势上涨(3日+1.6%),量价齐升,MACD金叉"
600011,华能国际,7.64,-2.68,151481655,83.5,S,100,80,70.0,70.1,-3.05,2.83,9.77,0.64,"多头排列,趋势向上,量价齐升"
605005,合兴股份,19.69,-1.01,2025900,83.5,S,100,50,77.5,56.7,0.61,2.13,3.36,0.51,"多头排列,量价齐升,MACD金叉"
002461,珠江啤酒,9.86,0.61,12456550,83.5,S,100,100,77.5,72.0,1.44,3.14,3.35,1.0,"多头排列,强势上涨(3日+1.4%),量价齐升"
603288,海天味业,38.51,1.91,31104463,83.5,S,100,100,77.5,71.1,4.02,6.79,3.63,1.0,"多头排列,强势上涨(3日+4.0%),量价齐升"
688475,萤石网络,28.52,1.49,6958426,83.5,S,40,100,92.5,36.0,1.71,4.32,-6.52,0.29,"强势上涨(3日+1.7%),放量上涨,MACD金叉"
000900,现代投资,4.35,-0.23,15075946,83.5,S,100,80,92.5,60.0,-0.68,0.69,1.87,0.9,"多头排列,趋势向上,量价齐升"
000507,珠海港,5.7,0.0,21133380,83.5,S,100,50,92.5,58.5,-1.21,-2.73,4.2,0.77,"多头排列,量价齐升,MACD金叉"
600023,浙能电力,5.48,-1.62,76798119,83.5,S,100,80,70.0,73.1,-3.01,1.48,10.04,0.77,"多头排列,趋势向上,量价齐升"
002352,顺丰控股,37.7,-0.95,19089548,83.5,S,40,100,100.0,50.5,0.96,1.81,-3.26,0.4,"强势上涨(3日+1.0%),量价齐升,MACD金叉"
000876,新 希 望,8.87,0.0,43885983,83.5,S,100,80,77.5,66.2,-0.78,1.84,1.95,0.4,"多头排列,趋势向上,MACD金叉"
002011,盾安环境,13.25,-0.6,21773594,83.5,S,100,80,92.5,58.8,-0.75,1.07,5.16,0.78,"多头排列,趋势向上,MACD金叉"
600919,江苏银行,10.92,1.58,120639254,83.5,S,100,100,77.5,74.6,2.44,4.3,4.7,1.0,"多头排列,强势上涨(3日+2.4%),量价齐升"
600050,中国联通,5.03,-0.79,187990324,83.5,S,100,80,70.0,69.6,0.0,2.86,3.5,0.33,"多头排列,趋势向上,量价齐升"
300476,胜宏科技,289.05,3.89,37188999,83.5,S,100,100,92.5,57.7,3.05,1.78,6.52,0.58,"多头排列,强势上涨(3日+3.1%),放量上涨"
601998,中信银行,7.56,0.67,63446064,83.0,S,75,100,85.0,62.5,2.02,3.85,1.2,0.58,"偏多趋势,强势上涨(3日+2.0%),MACD金叉"
600731,湖南海利,7.86,0.0,15362200,83.0,S,100,100,75.0,57.7,0.13,3.83,5.5,0.89,"多头排列,强势上涨(3日+0.1%),量价齐升"
301552,科力装备,40.37,0.32,665250,83.0,S,75,80,92.5,50.1,-0.52,4.8,0.15,0.79,"偏多趋势,趋势向上,量价齐升"
002031,巨轮智能,7.45,5.23,108272254,83.0,S,40,100,82.5,40.7,4.78,5.37,-3.37,0.25,"强势上涨(3日+4.8%),量价齐升,KDJ金叉"
