code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
000541,佛山照明,6.22,1.47,17067974,78.5,A,40,100,82.5,46.3,0.81,1.63,-2.66,0.51,"强势上涨(3日+0.8%),放量上涨,KDJ金叉"
601686,友发集团,6.18,-1.9,13704800,78.5,A,75,50,100.0,51.7,-1.44,-1.12,-1.12,0.42,"偏多趋势,MACD金叉,KDJ金叉"
600177,雅戈尔,7.64,1.06,38518120,78.5,A,75,100,85.0,65.1,2.83,5.82,3.24,1.0,"偏多趋势,强势上涨(3日+2.8%),放量上涨"
600162,香江控股,1.9,0.53,31704751,78.5,A,75,80,92.5,51.2,0.0,4.4,-1.55,0.69,"偏多趋势,趋势向上,MACD金叉"
301303,真兰仪表,16.17,-0.49,3275400,78.5,A,100,50,67.5,49.1,-2.53,1.83,-0.12,0.5,"多头排列,缩量回调,波动适中"
000049,德赛电池,27.37,1.03,11780760,78.5,A,75,100,85.0,58.8,2.13,7.46,4.07,0.84,"偏多趋势,强势上涨(3日+2.1%),放量上涨"
600575,淮河能源,3.99,1.27,88230703,78.5,A,100,100,52.5,82.8,0.25,7.26,16.33,1.0,"多头排列,强势上涨(3日+0.3%),量价齐升"
603002,宏昌电子,11.04,3.27,57947405,78.5,A,100,100,75.0,54.8,4.35,2.13,18.33,0.78,"多头排列,强势上涨(3日+4.3%),量价齐升"
300206,理邦仪器,14.73,-0.07,6252424,78.5,A,75,50,92.5,52.8,-0.2,4.54,0.41,0.72,"偏多趋势,量价齐升,MACD金叉"
300989,蕾奥规划,16.28,6.96,9187207,78.2,A,40,100,92.5,49.2,6.47,9.78,-1.03,0.42,"强势上涨(3日+6.5%),量价齐升,MACD金叉"
000626,远大控股,8.78,3.91,43059602,78.2,A,100,100,77.5,72.5,4.28,20.6,13.29,1.0,"多头排列,强势上涨(3日+4.3%),放量上涨"
300207,欣旺达,27.27,0.7,73039861,78.2,A,100,80,85.0,64.0,-0.51,7.79,8.26,0.64,"多头排列,趋势向上,MACD金叉"
300200,高盟新材,11.78,3.24,19299937,78.2,A,40,100,100.0,41.9,2.43,2.52,-2.0,0.1,"强势上涨(3日+2.4%),MACD金叉,KDJ金叉"
300481,濮阳惠成,17.85,-0.89,9518798,78.2,A,100,50,85.0,53.2,-0.61,6.25,3.36,0.79,"多头排列,量价齐升,MACD金叉"
300222,科大智能,12.53,-0.63,25989268,78.2,A,100,50,85.0,54.1,-2.87,9.15,5.83,0.7,"多头排列,量价齐升,MACD金叉"
002709,天赐材料,47.85,-1.89,83902959,78.2,A,100,80,85.0,65.9,-1.6,17.8,15.72,0.92,"多头排列,趋势向上,量价齐升"
301032,新柴股份,13.9,-0.36,7005000,78.2,A,100,50,85.0,48.3,-2.25,7.67,0.07,0.61,"多头排列,量价齐升,MACD金叉"
301109,军信股份,17.17,-4.56,17057160,78.2,A,100,50,85.0,60.2,-3.05,-2.55,7.78,0.73,"多头排列,量价齐升,MACD金叉"
301090,华润材料,9.06,6.21,46164965,78.2,A,100,100,77.5,74.3,9.03,21.29,18.12,1.0,"多头排列,强势上涨(3日+9.0%),放量上涨"
600337,美克家居,2.78,9.02,162723718,78.2,A,40,100,85.0,57.5,5.3,11.65,2.96,0.18,"强势上涨(3日+5.3%),放量上涨,MACD金叉"
688531,日联科技,74.75,0.36,4143725,78.2,A,100,50,85.0,55.8,-2.97,6.94,2.4,0.77,"多头排列,量价齐升,MACD金叉"
002588,史丹利,11.46,-3.05,44988977,78.2,A,100,80,85.0,54.8,-0.17,7.5,6.7,0.86,"多头排列,趋势向上,量价齐升"
603260,合盛硅业,49.48,0.92,8301092,78.2,A,40,100,100.0,47.1,1.29,1.04,-0.84,0.23,"强势上涨(3日+1.3%),MACD金叉,KDJ金叉"
002052,同洲电子,11.91,0.68,10005401,78.2,A,40,100,100.0,47.3,1.45,2.76,1.1,0.29,"强势上涨(3日+1.4%),MACD金叉,KDJ金叉"
600995,南网储能,14.88,-4.43,50617556,78.2,A,100,50,85.0,57.0,-9.54,2.48,11.13,0.63,"多头排列,量价齐升,MACD金叉"
002006,精工科技,19.57,-0.05,10410495,78.2,A,40,80,92.5,37.8,-2.64,2.78,-4.86,0.12,"趋势向上,量价齐升,MACD金叉"
002449,国星光电,9.05,-2.06,35369780,78.2,A,100,80,85.0,56.4,-2.37,11.59,4.99,0.83,"多头排列,趋势向上,量价齐升"
603158,腾龙股份,12.41,-3.05,44209312,78.2,A,100,80,85.0,64.8,-2.36,25.73,12.92,0.87,"多头排列,趋势向上,量价齐升"
000048,京基智农,20.16,-3.12,15760540,78.2,A,100,80,85.0,67.0,-0.25,15.8,13.58,0.92,"多头排列,趋势向上,量价齐升"
301516,中远通,19.24,1.64,7646913,78.2,A,100,100,85.0,70.0,0.63,19.06,14.18,0.96,"多头排列,强势上涨(3日+0.6%),缩量回调"
002459,晶澳科技,12.69,-0.39,98360414,78.2,A,100,80,85.0,62.3,-2.01,6.91,-0.16,0.85,"多头排列,趋势向上,量价齐升"
603693,江苏新能,14.44,-2.89,30961781,78.2,A,100,80,62.5,70.4,-6.36,9.23,15.15,0.74,"多头排列,趋势向上,量价齐升"
600981,苏豪汇鸿,3.33,0.3,21556401,78.2,A,40,100,100.0,46.7,0.91,6.73,-4.03,0.6,"强势上涨(3日+0.9%),放量上涨,MACD金叉"
002019,亿帆医药,14.32,-0.9,28019995,78.2,A,100,100,77.5,75.9,0.85,7.51,17.57,0.95,"多头排列,强势上涨(3日+0.8%),放量上涨"
002753,永东股份,8.09,-1.22,11968740,78.2,A,100,80,85.0,59.9,-0.25,5.61,3.59,0.92,"多头排列,趋势向上,量价齐升"
001872,招商港口,22.81,2.56,7102002,78.2,A,100,100,77.5,73.6,2.84,0.8,15.2,1.0,"多头排列,强势上涨(3日+2.8%),放量上涨"
000722,湖南发展,13.45,-1.54,13171801,78.2,A,100,50,85.0,58.0,-5.88,2.36,4.59,0.69,"多头排列,量价齐升,MACD金叉"
